;minimum;maximum
EX_gly_glu__L_e__AA1;-9.64561763794336e-12;0.0
EX_gly_leu_e__AA1;-4.256150987203e-12;0.0
EX_gly_met_e__AA1;-5.086536160537761;0.0
EX_gly_phe_e__AA1;-6.110908713396441;-6.11090871338952
EX_gly_pro__L_e__AA1;-1.2391865311656147e-11;0.0
EX_gly_tyr_e__AA1;-1.0986767051690549e-11;0.0
EX_glyb_e__AA1;0.0;31.723191156697993
EX_glyc2p_e__AA1;-9.57243173616007e-11;0.0
EX_glyc3p_e__AA1;-31.723191156720077;0.0
EX_glyc_e__AA1;-1000.0;1000.0000000000024
EX_glyclt_e__AA1;-999.9779332419547;0.0
EX_glyglygln_e__AA1;-8.717029121679131;0.0
EX_gua_e__AA1;-7.131652950261994;-7.131652950255355
EX_h2_e__AA1;0.0;0.0
EX_h2o2_e__AA1;-1000.0;0.0
EX_h2o_e__AA1;-1000.0;1000.0
EX_h2s_e__AA1;-996.5634075428591;1000.0
EX_h_e__AA1;-1000.0;1000.0
EX_hdca_e__AA1;2.0609292050721706e-11;0.0
EX_hdcea_e__AA1;-3.211653165635653e-12;0.0
EX_hom__L_e__AA1;0.0;1.7621459846850485e-12
EX_hpta_e__AA1;-3.183231456205249e-12;0.0
EX_hxa_e__AA1;0.0;0.0
EX_hxan_e__AA1;-486.29176047377285;0.0
EX_ibt_e__AA1;-4.547473508864641e-12;0.0
EX_icit_e__AA1;-499.7192590513398;0.0
EX_id3acald_e__AA1;-1000.0;970.7085721785187
EX_ile__L_e__AA1;0.0;0.0
EX_ind3ac_e__AA1;0.0;1000.0
EX_indole_e__AA1;-972.5835209477473;3.694822225952521e-12
EX_inost_e__AA1;0.0;0.0
EX_isetac_e__AA1;-9.990230864787009e-12;0.0
EX_istfrnA_e__AA1;-1000.0;1000.0
EX_istfrnB_e__AA1;-1000.0;1000.0
EX_k_e__AA1;-6.438380722163516;-6.438380722163639
EX_lac__D_e__AA1;-1000.0;0.0
EX_lac__L_e__AA1;-968.9750947447701;1000.0
EX_lcts_e__AA1;-2.091837814077735e-11;0.0
EX_leu__D_e__AA1;-8.640199666842818e-12;0.0
EX_leu__L_e__AA1;0.0;945.2294819144382
EX_lmn2_e__AA1;0.0;0.0
EX_lnlc_e__AA1;-5.17985654369113e-12;0.0
EX_lys__L_e__AA1;-502.40232449732196;-11.31905942833576
EX_lysglugly_e__AA1;-1.3399864551288942e-11;0.0
EX_m_xyl_e__AA1;0.0;0.0
EX_mal__D_e__AA1;0.0;0.0
EX_mal__L_e__AA1;-1000.0;0.0
EX_malt_e__AA1;-1.9997156708306818e-11;0.0
EX_malthp_e__AA1;-145.3907197211619;0.0
EX_malthx_e__AA1;-169.62250634135395;0.0
EX_malttr_e__AA1;-339.2450126827116;0.0
EX_man_e__AA1;-1000.0;0.0
EX_manttr_e__AA1;-1.8189894035458565e-12;0.0
EX_melib_e__AA1;-1000.0;0.0
EX_meoh_e__AA1;-1000.0;3.214850607946573e-11
EX_met_L_ala__L_e__AA1;-5.086536160539275;0.0
EX_met__D_e__AA1;-5.0865361605430985;0.0
EX_met__L_e__AA1;-5.086536160545812;0.0
EX_mg2_e__AA1;-0.2861421913939971;-0.2861421913939997
EX_mn2_e__AA1;-0.022792421239557825;-0.02279242123961467
EX_mnl_e__AA1;-1000.0;0.0
EX_mobd_e__AA1;-2.8194335754960775e-11;0.0
EX_mso3_e__AA1;1.3642420526593924e-12;0.0
EX_na1_e__AA1;0.0;0.0
EX_nh4_e__AA1;-1000.0;1000.0
EX_ni2_e__AA1;0.0;0.0
EX_nmn_e__AA1;-1000.0;-0.0751391252990743
EX_no2_e__AA1;-1000.0;1000.0
EX_no3_e__AA1;-1000.0;0.0
EX_nona_e__AA1;-7.275957614183426e-12;0.0
EX_novbcn_e__AA1;0.0;0.0
EX_o2_e__AA1;-1000.0;495.0111644931616
EX_oaa_e__AA1;-1000.0;0.0
EX_ocdca_e__AA1;-4.956035581926699e-12;0.0
EX_ocdcea_e__AA1;-8.08242361927114e-12;0.0
EX_octa_e__AA1;-1.0169642905566434e-11;0.0
EX_orn__D_e__AA1;-1.2363443602225743e-12;0.0
EX_orn_e__AA1;-1000.0;972.5835209477241
EX_orot_e__AA1;-10.048093328210598;0.0
EX_oxa_e__AA1;0.0;0.0
EX_p_xyl_e__AA1;0.0;0.0
