;minimum;maximum
EX_gly_glu__L_e__AA1;-1.0456346899445634e-10;0.0
EX_gly_leu_e__AA1;-1.2933654147673224e-11;0.0
EX_gly_met_e__AA1;-5.086536160542948;0.0
EX_gly_phe_e__AA1;-6.110908713386667;-6.110908713371941
EX_gly_pro__L_e__AA1;-1.1823431123048067e-11;0.0
EX_gly_tyr_e__AA1;-6.9038108563290734e-12;0.0
EX_glyb_e__AA1;0.0;31.723191156683242
EX_glyc2p_e__AA1;-8.697043085703626e-12;0.0
EX_glyc3p_e__AA1;-31.72319115668688;0.0
EX_glyc_e__AA1;-1000.0;1000.0
EX_glyclt_e__AA1;-999.9779332419547;0.0
EX_glyglygln_e__AA1;-8.717029121710766;0.0
EX_gua_e__AA1;-7.131652950265032;-7.131652950243745
EX_h2_e__AA1;0.0;0.0
EX_h2o2_e__AA1;-1000.0;0.0
EX_h2o_e__AA1;-1000.0;1000.0
EX_h2s_e__AA1;-996.5634075428712;1000.0
EX_h_e__AA1;-1000.0;1000.0
EX_hdca_e__AA1;-3.220534949832654e-12;0.0
EX_hdcea_e__AA1;-6.448175327022909e-12;0.0
EX_hom__L_e__AA1;0.0;9.868017514236271e-11
EX_hpta_e__AA1;-8.287731612099947e-12;0.0
EX_hxa_e__AA1;-1.8189894035458565e-12;0.0
EX_hxan_e__AA1;-486.29176047386113;0.0
EX_ibt_e__AA1;-4.092726157978177e-12;0.0
EX_icit_e__AA1;-499.719259051894;0.0
EX_id3acald_e__AA1;-1000.0;970.7085721768758
EX_ile__L_e__AA1;0.0;0.0
EX_ind3ac_e__AA1;0.0;1000.0
EX_indole_e__AA1;-972.5835209478007;5.002220859751105e-12
EX_inost_e__AA1;0.0;0.0
EX_isetac_e__AA1;-1.0049916454590857e-10;0.0
EX_istfrnA_e__AA1;-1000.0;1000.0
EX_istfrnB_e__AA1;-1000.0;1000.0
EX_k_e__AA1;-6.438380722163515;-6.438380722163515
EX_lac__D_e__AA1;-1000.0;0.0
EX_lac__L_e__AA1;-968.9750947446732;1000.0
EX_lcts_e__AA1;-3.092281986027956e-11;0.0
EX_leu__D_e__AA1;-1.351538325700119e-11;0.0
EX_leu__L_e__AA1;0.0;945.2294819144146
EX_lmn2_e__AA1;-9.322320693172514e-11;0.0
EX_lnlc_e__AA1;-7.686296044084884e-12;0.0
EX_lys__L_e__AA1;-502.4023244972003;-11.319059428304888
EX_lysglugly_e__AA1;-1.2960299500264227e-11;0.0
EX_m_xyl_e__AA1;0.0;0.0
EX_mal__D_e__AA1;0.0;0.0
EX_mal__L_e__AA1;-1000.0;0.0
EX_malt_e__AA1;-2.6211921522190096e-11;0.0
EX_malthp_e__AA1;-145.3907197211623;0.0
EX_malthx_e__AA1;-169.62250634135435;0.0
EX_malttr_e__AA1;-339.24501268271274;0.0
EX_man_e__AA1;-1000.0;0.0
EX_manttr_e__AA1;0.0;0.0
EX_melib_e__AA1;-1000.0;0.0
EX_meoh_e__AA1;-1000.0;2.2964741219766438e-11
EX_met_L_ala__L_e__AA1;-5.086536160542772;0.0
EX_met__D_e__AA1;-5.086536160541663;0.0
EX_met__L_e__AA1;-5.086536160542124;0.0
EX_mg2_e__AA1;-0.28614219139399744;-0.2861421913939975
EX_mn2_e__AA1;-0.02279242123961467;-0.022792421239567904
EX_mnl_e__AA1;-1000.0;0.0
EX_mobd_e__AA1;-2.5920599000528455e-11;0.0
EX_mso3_e__AA1;-1.0277290130034089e-10;0.0
EX_na1_e__AA1;0.0;0.0
EX_nh4_e__AA1;-1000.0;1000.0
EX_ni2_e__AA1;0.0;0.0
EX_nmn_e__AA1;-1000.0;-0.07513912529810796
EX_no2_e__AA1;-1000.0;1000.0
EX_no3_e__AA1;-1000.0;0.0
EX_nona_e__AA1;-3.6344260934129125e-12;0.0
EX_novbcn_e__AA1;0.0;0.0
EX_o2_e__AA1;-1000.0;495.0111644931701
EX_oaa_e__AA1;-1000.0;0.0
EX_ocdca_e__AA1;-8.43769498715119e-12;0.0
EX_ocdcea_e__AA1;-7.617018127348274e-12;0.0
EX_octa_e__AA1;-1.4551915228366852e-11;0.0
EX_orn__D_e__AA1;-2.319211489520967e-11;0.0
EX_orn_e__AA1;-1000.0;972.5835209477242
EX_orot_e__AA1;-10.048093328208779;0.0
EX_oxa_e__AA1;0.0;0.0
