4ABUTD
4ABZGLUtr
4HALDD
4HTHRtrpp
5DGLCNt2rpp
6PHBG
6PHBG2
ACACt2
ACACt2pp
ACt2rpp
ADEt2rpp
ADNt2
ADNt2pp
AH6PI
AKGt2rpp
ALDD31
ALLTNt2rpp
AMPEP1
AMPEP13
AMPEP14
AMPEP5
AMPEP8
AOXSr
ARBt2rpp
ASNt2rpp
ATPM
BGLA
BUTt2rpp
CLt3_2pp
CRNDt2rpp
CRNt2rpp
CYTDt2pp
DARBt2rpp
DCMPDA
DDGLCNt2rpp
D_LACt2pp
FACOAL161
FOLt
FORt
FUCtpp
GALCTt2rpp
GALURt2rpp
GLCNt2rpp
GLCRt2rpp
GLCURt2r
GLCURt2rpp
GLUt2rpp
GLYCAt2rpp
GLYCLTt2rpp
GLYPHEHYc
GUAt2r
HCINNMt2rpp
HEXt2rpp
HISt2rpp
HMGCOAS
HPPPNt2rpp
IDONt2rpp
ILEt2r
INDOLEt2pp
INSTt2
LACpts
LEUt2r
L_LACt2r
L_LACt2rpp
MTRI
NAPRT
NO2t2rpp
ORNTA
PHEt2r
PHEt2rpp
PPPNt2rpp
PROt2rpp
PYDXOR
PYRt2rpp
RIBt
SBTD_D2
SO4t2
THMDt2pp
THRt2r
TRPt2r
TRPt2rpp
TYRt2r
TYRt2rpp
UAG4Ei
URCN
URIt2pp
VALt2r
XTSNt2rpp
