bigg_id,name,formulas,charges
LTAAlaGal_LLA,"""Lipoteichoic acid  n16  with 0 38 ala and 062 gal """,['C17400H31998N600O15000P1600'],[0]
LTAala_LLA,"""Lipoteichoic acid  n16  with 038 ala substitutions """,['C11520H22198N600O10100P1600'],[0]
LTAglcnac,"""1,2-diacyl-3-O-[6-O-(2-O-N-acetyl-alpha-D-glucosamine-sn-glycerol phospho)n-(sn-glycerol phospho)-(beta-D-glucopyranosyl-(1->6)-O-beta-D-glucopyranosyl)]-sn-glycerol""",['C133H258N3O188P40'],[-35]
LTA_LLA,"""Lipoteichoic acid  n16  Lactis specific """,['C9720H18598O9500P1600'],[0]
LTA_MRSA,"""Lipoteichoic acid """,['C386H754N8O555P120'],[-106]
L_thrgly,"""Thr Gly C6H12N2O4""",['C6H12N2O4'],[0]
lthstrl,"""5alpha-Cholest-7-en-3beta-ol""",['C27H46O'],[0]
lum3,"""Lumisterol 3""",['C27H44O'],[0]
lumirhodopsin,"""Lumirhodopsin""",[],[]
lut,"""Lutein""",[],[]
lvst,"""Lovastatin lactone form""",['C24H36O5'],[0]
lvstacid,"""Lovastatin-hydroxyacid form""",['C24H37O6'],[-1]
lxser,"""Gal-Xyl-L-Ser (protein)""",['C11H19O9X'],[0]
lycop,"""Lycopene""",['C40H56'],[0]
lysargleu,"""Lysyl-Arginyl-Leucine""",['C18H38N7O4'],[2]
lyscyshis,"""Lysyl-Cysteinyl-Histidine""",['C15H27N6O4S'],[1]
lys__D,"""D-Lysine""",['C6H15N2O2'],[1]
lysglnphe,"""Lysyl-Glutaminyl-Phenylalanine""",['C20H32N5O5'],[1]
lysgluglu,"""Lysyl-Glutamyl-Glutamate""",['C16H27N4O8'],[-1]
lysglugly,"""Lysine-glutamine-glycine tripeptide""",['C13H26N4O7'],[1]
lyslyslys,"""Lysyl-Lysyl-Lysine""",['C18H41N6O4'],[3]
lyspg_LLA,"""1 lysyl phosphatidyl glycerol  lactis specific """,['C4620H8898N200O1100P100'],[0]
lyspheile,"""Lysyl-Phenylalanyl-Isoleucine""",['C21H35N4O4'],[1]
lystrna,"""L-Lysine-tRNA (Lys)""","['C6H15N2O2X', 'C21H36N2O17P2R3', 'C6H14N2OR', 'C6H15N2OR']","[2, -1]"
lystyrile,"""Lysyl-Tyrosyl-Isoleucine""",['C21H35N4O5'],[1]
lystrparg,"""Lysyl-Tryptophanyl-Arginine""",['C23H38N8O4'],[2]
lysvaltrp,"""Lysyl-Valyl-Tryptophan""",['C22H34N5O4'],[1]
lys__L,"""L-Lysine""",['C6H15N2O2'],"[0, 1]"
lysvalphe,"""Lysyl-Valyl-Phenylalanine""",['C20H33N4O4'],[1]
lysylpgly_BS,"""Lysylphophatidylglycerol C4336H8572N200O1100P100""",['C4336H8572N200O1100P100'],[0]
lyxnt,"""L-lyxonate""",['C5H9O6'],[-1]
M00003,"""10Z-Heptadecenoic Acid""",['C17H31O2'],[-1]
M00006,"""11Z-Docosenoyl Coenzyme A""",['C43H72N7O17P3S'],[-4]
M00004,"""10Z-Heptadecenoyl Coenzyme A""",['C38H62N7O17P3S'],[-4]
M00008,"""11Z,14Z-Eicosadienoic Acid""",['C20H35O2'],[-1]
lyx__L,"""L-Lyxose""",['C5H10O5'],[0]
M00010,"""11Z,14Z,17Z-Eicosatrienoic Acid""",['C20H33O2'],[-1]
M00011,"""11Z,14Z,17Z-Eicosatrienoylcarnitine""",['C27H47NO4'],[0]
M00012,"""11Z,14Z,17Z-Eicosatrienoyl Coenzyme A""",['C41H64N7O17P3S'],[-4]
M00017,"""13Z-Eicosenoic Acid""",['C20H37O2'],[-1]
M00018,"""13Z-Eicosenoyl Coenzyme A""",['C41H68N7O17P3S'],[-4]
M00019,"""13Z-Octadecenoic Acid""",['C18H33O2'],[-1]
M00020,"""13Z-Octadecenoyl Coenzyme A""",['C39H64N7O17P3S'],[-4]
M00021,"""13Z,16Z-Docosadienoic Acid""",['C22H39O2'],[-1]
M00022,"""13Z,16Z-Docosadienoylcarnitine""",['C29H52NO4'],[-1]
M00023,"""13Z,16Z-Docosadienoyl Coenzyme A""",['C43H70N7O17P3S'],[-4]
M00046,"""(2E)-Heptadecenoyl Coenzyme A""",['C38H62N7O17P3S'],[-4]
M00048,"""(2E)-Heptenoyl Coenzyme A""",['C28H42N7O17P3S'],[-4]
M00044,"""(2E)-Heneicosenoyl Coenzyme A""",['C42H70N7O17P3S'],[-4]
M00049,"""(2E)-Hexacosenoyl Coenzyme A""",['C47H80N7O17P3S'],[-4]
M00054,"""(2E)-Nonadecenoyl Coenzyme A""",['C40H66N7O17P3S'],[-4]
M00056,"""(2E)-Nonenoyl Coenzyme A""",['C30H46N7O17P3S'],[-4]
M00061,"""(2E)-Pentadecenoyl Coenzyme A""",['C36H58N7O17P3S'],[-4]
M00063,"""(2E)-Pentenoyl Coenzyme A""",['C26H38N7O17P3S'],[-4]
M00067,"""(2E)-Tricosenoyl Coenzyme A""",['C44H74N7O17P3S'],[-4]
M00069,"""(2E)-Tridecenoyl Coenzyme A""",['C34H54N7O17P3S'],[-4]
M00071,"""(2E)-Undecenoyl Coenzyme A""",['C32H50N7O17P3S'],[-4]
M00085,"""(3S)-Hydroxy-Docasa-Cis,Cis-13,16-Dienoyl Coenzyme A""",['C43H70N7O18P3S'],[-4]
M00086,"""(3S)-Hydroxy-Eicosa-Cis,Cis,Cis-11,14,17-Trienoyl Coenzyme A""",['C41H64N7O18P3S'],[-4]
M00100,"""5Z,8Z,11Z-Eicosatrienoylcarnitine""",['C27H47NO4'],[0]
M00101,"""5Z,8Z,11Z-Eicosatrienoyl Coenzyme A""",['C41H64N7O17P3S'],[-4]
M00115,"""7Z-Octadecenoic Acid""",['C18H33O2'],[-1]
M00116,"""7Z-Octadecenoyl Coenzyme A""",['C39H64N7O17P3S'],[-4]
M00117,"""7Z-Tetradecenoic Acid""",['C14H25O2'],[-1]
M00122,"""8Z,11Z-Eicosadienoylcarnitine""",['C27H49NO4'],[0]
M00123,"""8Z,11Z-Eicosadienoyl Coenzyme A""",['C41H66N7O17P3S'],[-4]
M00127,"""9E-Octadecenoic Acid""",['C39H64N7O17P3S'],[-4]
M00129,"""9E-Tetradecenoyl Coenzyme A""",['C35H56N7O17P3S'],[-4]
M00170,"""(S)-3-Hydroxy-11-Cis-Octadecenoyl Coenzyme A""",['C39H64N7O18P3S'],[-4]
M00172,"""(S)-3-Hydroxy-7-Hexadecenoyl Coenzyme A""",['C37H60N7O18P3S'],[-4]
M00213,"""Protein N6-Methyl-L-Lysine""",['C8H15N3O2R2'],[0]
M00234,"""1,2-Diacylglycerol-Chylomicron-Pool""",['C5H6O5R2'],[0]
M00241,"""1,2-Diacylglycerol-VLDL-Pool""",['C5H6O5R2'],[0]
M00245,"""1,2-Dihydroxy-5-(Methylthio)Pent-1-En-3-One""",['C6H10O3S'],[0]
M00260,"""10Z,13Z,16Z,19Z-Docosatetraenoic Acid""",['C22H35O2'],[-1]
M00261,"""10Z,13Z,16Z,19Z-Docosatetraenoylcarnitine""",['C29H49NO4'],[0]
M00263,"""10Z,13Z,16Z-Docosatrienoylcarnitine""",['C29H51NO4'],[0]
M00265,"""10Z,13Z,16Z-Docosatriynoic Acid""",['C22H37O2'],[-1]
M00285,"""11Beta-Hydroxyprogesterone""",['C21H30O3'],[0]
M00315,"""12Z,15Z,18Z,21Z-Tetracosatetraenoic Acid""",['C24H39O2'],[-1]
M00341,"""13Z,16Z,19Z-Docosatrienoic Acid""",['C22H37O2'],[-1]
M00342,"""13Z,16Z,19Z-Docosatrienoylcarnitine""",['C29H51NO4'],[0]
M00343,"""13Z,16Z,19Z-Docosatrienoyl Coenzyme A""",['C43H68N7O17P3S'],[-4]
M00406,"""17Alpha,21-Dihydroxypregnenolone""",['C21H32O4'],[0]
M00429,"""18-Hydroxycorticosterone""",['C21H30O5'],[0]
M00503,"""Monoacylglycerol-Chylomicron-Pool""",['C4H7O4R'],[0]
M00510,"""1-Acylglycerol-VLDL-Pool""",['C4H7O4R'],[0]
M00579,"""Cholest-5-En-3Beta,20R,22R-Triol""",['C27H46O3'],[0]
M00603,"""4-Pregnene-11Beta,17Alpha-Diol-3,20-Dione""",['C21H30O4'],[0]
M00605,"""21-Hydroxypregnenolone""",['C21H32O3'],[0]
M00606,"""Cholest-5-En-3Beta,22R-Diol""",['C27H46O2'],[0]
M00615,"""25(R)Tetrahca Coenzyme A""",['C48H76N7O21P3S'],[-4]
M00625,"""27-Hydroxycholesterol""",['C27H46O2'],[0]
M00658,"""2-Methoxy-6-All Trans-Decaprenyl-2-Methoxy-1,4-Benzoquinol""",['C57H90O3'],[0]
M00673,"""2-Phenylacetamide""",['C8H9NO'],[0]
M00699,"""3(S)-Hydroxy-11Cis-Docosenoyl Coenzyme A""",['C43H72N7O18P3S'],[-4]
M00702,"""3(S)-Hydroxy-13-Cis-Eicosenoyl Coenzyme A""",['C41H68N7O18P3S'],[-4]
M00704,"""3(S)-Hydroxy-3-Oxo-Eicosadienoyl Coenzyme A""",['C41H66N7O18P3S'],[-4]
M00707,"""3(S)-Hydroxy-9-Cis-Eicosenoyl Coenzyme A""",['C41H68N7O18P3S'],[-4]
M00742,"""3,7,24THCA""",['C27H45O5'],[-1]
M00712,"""3(S)-Hydroxy-Docosa-13,16,19-All-Cis-Trienoyl Coenzyme A""",['C43H68N7O18P3S'],[-4]
M00715,"""3(S)-Hydroxy-Hexacosenoyl Coenzyme A""",['C47H80N7O18P3S'],[-4]
M00743,"""3,7,24Thca Coenzyme A""",['C48H76N7O20P3S'],[-4]
M00753,"""3Alpha,7Alpha,24-Trihydroxy-5Beta-Cholestan-26-Al""",['C27H46O4'],[0]
M00746,"""3Alpha,7Alpha,12Alpha,24-Tetrahydroxy-5Beta-Cholestan-26-Al""",['C27H46O5'],[0]
M00770,"""3-Demethylubiquinol-10""",['C58H92O4'],[0]
M00778,"""3-Hydroxyheneicosanoyl Coenzyme A""",['C42H72N7O18P3S'],[-4]
M00780,"""3-Hydroxyheptadecanoyl Coenzyme A""",['C38H64N7O18P3S'],[-4]
M00782,"""3-Hydroxyheptanoyl Coenzyme A""",['C28H44N7O18P3S'],[-4]
