reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,dead_end_test
13PPDH,3hppnl_c + h_c + nadh_c <=> 13ppd_c + nad_c,ok,ok,ok,ok,ok,3hppnl_c;13ppd_c
UAG2EMA,h2o_c + uacgam_c <=> acmana_c + h_c + udp_c,ok,ok,ok,ok,ok,acmana_c
ACNPLYS,acmana_c + h2o_c + pep_c <=> acnam_c + pi_c,ok,ok,ok,ok,ok,acmana_c;acnam_c
PTAr,accoa_c + pi_c <=> actp_c + coa_c,ok,ok,ok,ok,ok,actp_c
ADNtex,adn_e <=> adn_p,ok,ok,ok,ok,ok,adn_p
BTDD_RR,btd_RR_c + nad_c <=> actn__R_c + h_c + nadh_c,ok,ok,ok,ok,ok,btd_RR_c
ALCD4,btoh_c + nad_c <=> btal_c + h_c + nadh_c,ok,ok,ok,ok,ok,btoh_c
CEPA,cellb_c + pi_c <=> g1p_c + glc__D_c,ok,ok,ok,ok,ok,cellb_c
CLtex,cl_e <=> cl_p,ok,ok,ok,ok,ok,cl_p
EX_h2_e,h2_e <=> ,ok,ok,ok,ok,ok,h2_e
H2tex,h2_e <=> h2_p,ok,ok,ok,ok,ok,h2_e;h2_p
ACLS_d,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,ok,ok,ok,ok,ok,hethmpp_c
HMEDR,2.0 h_c + hmbpp_c + nadh_c --> h2o_c + ipdp_c + nad_c,ok,ok,ok,ok,ok,hmbpp_c
EX_12dgr160_e,12dgr160_e <=> ,ok,ok,ok,ok,ok,ok
EX_12dgr180_e,12dgr180_e <=> ,ok,ok,ok,ok,ok,ok
EX_1ag160_e,1ag160_e <=> ,ok,ok,ok,ok,ok,ok
EX_1ag180_e,1ag180_e <=> ,ok,ok,ok,ok,ok,ok
EX_1ag181d9_e,1ag181d9_e <=> ,ok,ok,ok,ok,ok,ok
EX_1ag182d9d12_e,1ag182d9d12_e <=> ,ok,ok,ok,ok,ok,ok
EX_25dkglcn_e,25dkglcn_e <=> ,ok,ok,ok,ok,ok,ok
EX_2ameph_e,2ameph_e <=> ,ok,ok,ok,ok,ok,ok
EX_2ddglcn_e,2ddglcn_e <=> ,ok,ok,ok,ok,ok,ok
EX_2m35mdntha_e,2m35mdntha_e <=> ,ok,ok,ok,ok,ok,ok
EX_34dhbz_e,34dhbz_e <=> ,ok,ok,ok,ok,ok,ok
EX_35dnta_e,35dnta_e <=> ,ok,ok,ok,ok,ok,ok
EX_3h4atb_e,3h4atb_e <=> ,ok,ok,ok,ok,ok,ok
EX_3mb_e,3mb_e <=> ,ok,ok,ok,ok,ok,ok
EX_3oxoadp_e,3oxoadp_e <=> ,ok,ok,ok,ok,ok,ok
EX_4abut_e,4abut_e <=> ,ok,ok,ok,ok,ok,ok
EX_4abz_e,4abz_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hba_e,4hba_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hbald_e,4hbald_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hbz_e,4hbz_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hpro_DC_e,4hpro_DC_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hpro_LT_e,4hpro_LT_e <=> ,ok,ok,ok,ok,ok,ok
EX_5mcsn_e,5mcsn_e <=> ,ok,ok,ok,ok,ok,ok
EX_5mdru1p_e,5mdru1p_e <=> ,ok,ok,ok,ok,ok,ok
EX_6atha_e,6atha_e <=> ,ok,ok,ok,ok,ok,ok
EX_LalaLglu_e,LalaLglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hppta_e,R_3hppta_e <=> ,ok,ok,ok,ok,ok,ok
EX_ac_e,ac_e <=> ,ok,ok,ok,ok,ok,ok
EX_acac_e,acac_e <=> ,ok,ok,ok,ok,ok,ok
EX_acald_e,acald_e <=> ,ok,ok,ok,ok,ok,ok
EX_acgam_e,acgam_e <=> ,ok,ok,ok,ok,ok,ok
EX_acon_C_e,acon_C_e <=> ,ok,ok,ok,ok,ok,ok
EX_actn__R_e,actn__R_e <=> ,ok,ok,ok,ok,ok,ok
EX_ade_e,ade_e <=> ,ok,ok,ok,ok,ok,ok
EX_adn_e,adn_e <=> ,ok,ok,ok,ok,ok,ok
EX_akg_e,akg_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_B_e,ala_B_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_L_asp__L_e,ala_L_asp__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_L_glu__L_e,ala_L_glu__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala__L_e,ala__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_alaala_e,alaala_e <=> ,ok,ok,ok,ok,ok,ok
EX_alahis_e,alahis_e <=> ,ok,ok,ok,ok,ok,ok
EX_alaleu_e,alaleu_e <=> ,ok,ok,ok,ok,ok,ok
EX_alathr_e,alathr_e <=> ,ok,ok,ok,ok,ok,ok
EX_alatrp_e,alatrp_e <=> ,ok,ok,ok,ok,ok,ok
EX_algac_MG_14_e,algac_MG_14_e <=> ,ok,ok,ok,ok,ok,ok
EX_algac_MG_23_e,algac_MG_23_e <=> ,ok,ok,ok,ok,ok,ok
EX_algac_MG_32_e,algac_MG_32_e <=> ,ok,ok,ok,ok,ok,ok
EX_algac_MG_41_e,algac_MG_41_e <=> ,ok,ok,ok,ok,ok,ok
EX_algac__M_e,algac__M_e <=> ,ok,ok,ok,ok,ok,ok
EX_alltn_e,alltn_e <=> ,ok,ok,ok,ok,ok,ok
EX_apc_e,apc_e <=> ,ok,ok,ok,ok,ok,ok
EX_arab__L_e,arab__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_arbt6p_e,arbt6p_e <=> ,ok,ok,ok,ok,ok,ok
EX_arbt_e,arbt_e <=> ,ok,ok,ok,ok,ok,ok
EX_arg__L_e,arg__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_asn__L_e,asn__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_aso3_e,aso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_aso4_e,aso4_e <=> ,ok,ok,ok,ok,ok,ok
EX_asp__L_e,asp__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_balaala_e,balaala_e <=> ,ok,ok,ok,ok,ok,ok
EX_balabala_e,balabala_e <=> ,ok,ok,ok,ok,ok,ok
EX_balagly_e,balagly_e <=> ,ok,ok,ok,ok,ok,ok
EX_balaleu_e,balaleu_e <=> ,ok,ok,ok,ok,ok,ok
EX_balamd_e,balamd_e <=> ,ok,ok,ok,ok,ok,ok
EX_bhb_e,bhb_e <=> ,ok,ok,ok,ok,ok,ok
EX_but_e,but_e <=> ,ok,ok,ok,ok,ok,ok
EX_butso3_e,butso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_bz_e,bz_e <=> ,ok,ok,ok,ok,ok,ok
EX_bzal_e,bzal_e <=> ,ok,ok,ok,ok,ok,ok
EX_bzalc_e,bzalc_e <=> ,ok,ok,ok,ok,ok,ok
EX_ca2_e,ca2_e <=> ,ok,ok,ok,ok,ok,ok
EX_carn_e,carn_e <=> ,ok,ok,ok,ok,ok,ok
EX_cd2_e,cd2_e <=> ,ok,ok,ok,ok,ok,ok
EX_cgly_e,cgly_e <=> ,ok,ok,ok,ok,ok,ok
EX_chol_e,chol_e <=> ,ok,ok,ok,ok,ok,ok
EX_chols_e,chols_e <=> ,ok,ok,ok,ok,ok,ok
EX_chor_e,chor_e <=> ,ok,ok,ok,ok,ok,ok
EX_cinnm_e,cinnm_e <=> ,ok,ok,ok,ok,ok,ok
EX_cit_e,cit_e <=> ,ok,ok,ok,ok,ok,ok
EX_cl_e,cl_e <=> ,ok,ok,ok,ok,ok,ok
EX_cm_e,cm_e <=> ,ok,ok,ok,ok,ok,ok
EX_co2_e,co2_e <=> ,ok,ok,ok,ok,ok,ok
EX_cobalt2_e,cobalt2_e <=> ,ok,ok,ok,ok,ok,ok
EX_confrl_e,confrl_e <=> ,ok,ok,ok,ok,ok,ok
EX_creat_e,creat_e <=> ,ok,ok,ok,ok,ok,ok
EX_crn_e,crn_e <=> ,ok,ok,ok,ok,ok,ok
EX_cro4_e,cro4_e <=> ,ok,ok,ok,ok,ok,ok
EX_csn_e,csn_e <=> ,ok,ok,ok,ok,ok,ok
EX_cu2_e,cu2_e <=> ,ok,ok,ok,ok,ok,ok
EX_cu_e,cu_e <=> ,ok,ok,ok,ok,ok,ok
EX_cyan_e,cyan_e <=> ,ok,ok,ok,ok,ok,ok
EX_cys__L_e,cys__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_dad_2_e,dad_2_e <=> ,ok,ok,ok,ok,ok,ok
EX_dag181d9_e,dag181d9_e <=> ,ok,ok,ok,ok,ok,ok
EX_dag182d9d12_e,dag182d9d12_e <=> ,ok,ok,ok,ok,ok,ok
EX_dca_e,dca_e <=> ,ok,ok,ok,ok,ok,ok
EX_ddca_e,ddca_e <=> ,ok,ok,ok,ok,ok,ok
EX_dmanur_e,dmanur_e <=> ,ok,ok,ok,ok,ok,ok
EX_dmgly_e,dmgly_e <=> ,ok,ok,ok,ok,ok,ok
EX_dmso2_e,dmso2_e <=> ,ok,ok,ok,ok,ok,ok
EX_drib_e,drib_e <=> ,ok,ok,ok,ok,ok,ok
EX_enter_e,enter_e <=> ,ok,ok,ok,ok,ok,ok
EX_etha_e,etha_e <=> ,ok,ok,ok,ok,ok,ok
EX_ethso3_e,ethso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_etoh_e,etoh_e <=> ,ok,ok,ok,ok,ok,ok
EX_fald_e,fald_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe2_e,fe2_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3_e,fe3_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3dcit_e,fe3dcit_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3pyovd_kt_e,fe3pyovd_kt_e <=> ,ok,ok,ok,ok,ok,ok
EX_feenter_e,feenter_e <=> ,ok,ok,ok,ok,ok,ok
EX_fer_e,fer_e <=> ,ok,ok,ok,ok,ok,ok
EX_for_e,for_e <=> ,ok,ok,ok,ok,ok,ok
EX_fru_e,fru_e <=> ,ok,ok,ok,ok,ok,ok
EX_fuc_e,fuc_e <=> ,ok,ok,ok,ok,ok,ok
EX_fum_e,fum_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3pc_e,g3pc_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3pe_e,g3pe_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3pg_e,g3pg_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3ps_e,g3ps_e <=> ,ok,ok,ok,ok,ok,ok
EX_gal_e,gal_e <=> ,ok,ok,ok,ok,ok,ok
EX_galct__D_e,galct__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_galur_e,galur_e <=> ,ok,ok,ok,ok,ok,ok
EX_gam_e,gam_e <=> ,ok,ok,ok,ok,ok,ok
EX_glc__D_e,glc__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcn_e,glcn_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcr_e,glcr_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcur_e,glcur_e <=> ,ok,ok,ok,ok,ok,ok
EX_gln__L_e,gln__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_glu__L_e,glu__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_glutar_e,glutar_e <=> ,ok,ok,ok,ok,ok,ok
EX_gly_asn__L_e,gly_asn__L_e <=> ,ok,ok,ok,ok,ok,ok
