reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway,,,,,
AMPTASEATRP,alatrp_c + h2o_c --> ala__L_c + trp__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AMPTASECG,cgly_c + h2o_c --> cys__L_c + gly_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AMPTASEGGLN,glygln_c + h2o_c --> gln__L_c + gly_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AMPTASEGGLU,glyglu_c + h2o_c --> glu__L_c + gly_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AMPTASEGM,glymet_c + h2o_c --> gly_c + met__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AMPTASEGS,glyser_c + h2o_c --> gly_c + ser__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AMPTASEHG,h2o_c + hisgly_c --> gly_c + his__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AMPTASEHH,h2o_c + hishis_c --> 2.0 his__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AMPTASEPG,h2o_c + progly_c --> gly_c + pro__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ANHMK,anhm_c + atp_c + h2o_c --> acmum6p_c + adp_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,anhm_c,acmum6p_c,1,,,,
ANPRT,anth_c + prpp_c --> ppi_c + pran_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ANS,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AOXHEXCYCL,6a2ohxnt_c --> 1pipdn2c_c + h2o_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
AOXSr,ala__L_c + h_c + pmcoa_c <=> 8aonn_c + co2_c + coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
APAT_1,atp_c + ppa_c <=> ppad_c + ppi_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,,,
APATr,ala_B_c + pyr_c <=> ala__L_c + msa_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,ala_B_c,msa_c,1,,,,
APCt5,apc_c + h_p --> apc_e + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
APCt6,apc_p + h_p --> apc_e + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
APCtex,apc_e <=> apc_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
APCtpp,apc_p --> apc_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
APG3PAT160,glyc3p_c + hdcap_c --> 1hdecg3p_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,hdcap_c,1hdecg3p_c,1,,,,
APG3PAT181,glyc3p_c + ocdceap_c --> 1odec11eg3p_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ocdceap_c,1odec11eg3p_c,1,,,,
APH140,h2o_c + ttdcap_c --> 2.0 h_c + pi_c + ttdca_c,ok,ok,ok,N/A,N/A,ok,ok,ttdcap_c,1,,,,,
APPAT,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,PTPATi,ok,ok,N/A,N/A,ok,ok,pan4p_c,dpcoa_c,1,,,,
APPLDHr,aact_c + h_c + nadh_c <=> appl_c + nad_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,aact_c,appl_c,25,,,,
APRAUR,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
APRTO2,aprut_c + h2o_c + o2_c --> h2o2_c + n4abutn_c + nh4_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
APSR,aps_c + trdrd_c --> amp_c + 2.0 h_c + so3_c + trdox_c,ok,ok,ok,N/A,N/A,ok,ok,aps_c,trdrd_c,trdox_c,1,,,
APSR2,aps_c + grxrd_c --> amp_c + grxox_c + 2.0 h_c + so3_c,ok,ok,ok,N/A,N/A,ok,ok,aps_c,grxrd_c,grxox_c,1,,,
APTNAT,5aptn_c + akg_c <=> glu__L_c + oxptn_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
ARABR,arab__L_c + h_c + nadph_c --> abt_c + nadp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARABRr,arab__L_c + h_c + nadph_c <=> abt__L_c + nadp_c,ok,ok,ok,N/A,N/A,ok,abt__L_c,always blocked,48,,,,,
ARAB_Lt,arab__L_e <=> arab__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARBT6Pt,arbt6p_e <=> arbt6p_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,,,
ARBTpts,arbt_e + pep_c --> arbt6p_c + pyr_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARBabc,arab__L_e + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARBabcpp,arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARBt2r,arab__L_e + h_e --> arab__L_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARBt3ipp,arab__L_c + h_p --> arab__L_p + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARGAGMt7pp,agm_c + arg__L_p <=> agm_p + arg__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARGN,arg__L_c + h2o_c --> orn_c + urea_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARGN_1,arg__L_c + h2o_c --> orn__L_c + urea_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARGR,arg__L_c <=> arg__D_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
ARGSL,argsuc_c <=> arg__L_c + fum_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARGabc,arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARGabcpp,arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARGt2r,arg__L_e + h_e --> arg__L_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ARGtex,arg__L_e <=> arg__L_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASAD,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASCBPL,ascb6p_c + h2o_c --> 3dhgulnp_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASCBpts,ascb__L_e + pep_c --> ascb6p_c + pyr_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASNN,asn__L_c + h2o_c --> asp__L_c + nh4_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASNS1,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASNabc,asn__L_e + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASNt2r,asn__L_e + h_e --> asn__L_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASNt2rpp,asn__L_p + h_p --> asn__L_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASNtex,asn__L_e <=> asn__L_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
ASO3t4pp,aso3_c + na1_p --> aso3_p + na1_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASO3tex,aso3_e <=> aso3_p,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,,,
ASO3tex_1,aso3_c <=> aso3_e,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASO4rt2rpp,aso4_p + h_p --> aso4_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASO4t4pp,aso4_c + na1_p --> aso4_p + na1_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASO4tex,aso4_e <=> aso4_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPA2,3sala_c + akg_c --> 3snpyr_c + glu__L_c,ok,ok,ok,N/A,N/A,ok,ok,3sala_c,3snpyr_c,19,,,,
ASPCT,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPK,asp__L_c + atp_c <=> 4pasp_c + adp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPO1,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPO2,asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPO2y,asp__L_c + nadp_c --> 2.0 h_c + iasp_c + nadph_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPO5,asp__L_c + fum_c --> h_c + iasp_c + succ_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPO5_2,asp__L_c + h2o_c + o2_c --> h2o2_c + h_c + nh3_c + oaa_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPO6,asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPR,asp__D_c <=> asp__L_c,ok,ok,ok,N/A,N/A,ok,asp__D_c,always blocked,49,,,,,
ASPSALy,aspsa_c + h2o_c + nadp_c --> asp__L_c + 2.0 h_c + nadph_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPT,asp__L_c --> fum_c + nh4_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,,,
ASPTA,akg_c + asp__L_c <=> glu__L_c + oaa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,,,
ASPabc,asp__L_e + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPabcpp,asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPt2_2pp,asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPt2r,asp__L_e + h_e --> asp__L_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASPtpp,asp__L_p <=> asp__L_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,,,
ASR,aso4_c + 2.0 gthrd_c + h_c --> aso3_c + gthox_c + h2o_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ASR2,aso4_c + trdrd_c --> aso3_c + h2o_c + trdox_c,ok,ok,ok,N/A,N/A,ok,ok,trdrd_c,trdox_c,1,,,,
ATAH_1,alltt_c + h2o_c <=> urdglyc_c + urea_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ATHRDHr,athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,,,
ATPHs,atp_c + h2o_c + h_c --> itp_c + nh4_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ATPPRT,atp_c + prpp_c --> ppi_c + prbatp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
ATPS4rpp,adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BALAALAabcpp,atp_c + balaala_p + h2o_c --> adp_c + balaala_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BALAALAtex,balaala_e <=> balaala_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
BALABALAabcpp,atp_c + balabala_p + h2o_c --> adp_c + balabala_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BALABALAtex,balabala_e <=> balabala_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
BALAGLYabcpp,atp_c + balagly_p + h2o_c --> adp_c + balagly_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BALAGLYtex,balagly_e <=> balagly_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
BALALEUabcpp,atp_c + balaleu_p + h2o_c --> adp_c + balaleu_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BALALEUtex,balaleu_e <=> balaleu_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
BALAMDAH,balamd_c + h2o_c --> ala_B_c + nh4_c,ok,ok,ok,N/A,N/A,ok,ok,balamd_c,ala_B_c,1,,,,
BALAt2pp,ala_B_p + h_p --> ala_B_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ala_B_p,ala_B_c,1,,,,
BALAtex,ala_B_e <=> ala_B_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ala_B_e,ala_B_p,1,,,,
BCT1_syn,atp_c + h2o_c + hco3_p --> adp_c + h_c + hco3_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BDH,bhb_c + nad_c <=> acac_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BEF,betald_c + fad_c + h2o_c --> fadh2_c + glyb_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BETALDHx,betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BETALDHy,betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BGLApp,cellb_p + h2o_p --> 2.0 glc__D_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BLAMDabcpp,atp_c + balamd_p + h2o_c --> adp_c + balamd_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,balamd_p,balamd_c,1,,,,
BLAMDtex,balamd_e <=> balamd_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,balamd_e,balamd_p,1,,,,
BPNT,h2o_c + pap_c --> amp_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,pap_c,1,,,,,
BSCT,coa_c + 4.0 h_c + sbzcoa_c <=> benzcoa_c + succoa_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,sbzcoa_c,benzcoa_c,21,,,,
BTDD_RR,btd_RR_c + nad_c <=> actn__R_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,ok,btd_RR_c,always blocked,53,,,,,
BTNTe,btn_c <=> btn_e,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BTNt,atp_c + btn_e + h2o_c --> adp_c + btn_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BTNt2i,btn_e + h_e --> btn_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BTS,btal_c + h_c + nadh_c <=> 1btol_c + nad_c,ok,ok,ok,N/A,N/A,in loop,only when going forwards,ok,0,,,,,
BTS3r,dtbt_c + 2.0 s_c <=> btn_c + h2s_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BTS4,amet_c + dtbt_c + s_c --> btn_c + dad_5_c + h_c + met__L_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BTS_nadph,btal_c + h_c + nadph_c --> 1btol_c + nadp_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,,,
BUP,3uib_c + h2o_c + 2.0 h_c --> 3aib_c + co2_c + nh4_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BUPN,cala_c + h2o_c + 2.0 h_c --> ala_B_c + co2_c + nh4_c,UPPN,ok,ok,N/A,N/A,ok,ok,cala_c,ala_B_c,1,,,,
BUTKr,atp_c + but_c <=> adp_c + butpi_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
BUTSO3abcpp,atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
BUTSO3tex,butso3_e <=> butso3_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
BUTtex,but_e <=> but_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
BZALCt2pp,bzalc_p + h_p --> bzalc_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,bzalc_p,bzalc_c,21,,,,
BZALCtex,bzalc_p <=> bzalc_e,ok,ok,ok,N/A,N/A,ok,only when going forwards,bzalc_p,bzalc_e,21,,,,
BZALDH,bzalc_c + nad_c <=> bzal_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,bzalc_c,bzal_c,21,,,,
BZDH,bzal_c + h2o_c + nad_c <=> bz_c + 2.0 h_c + nadh_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,bzal_c,bz_c,21,,,,
BZSCT,bzsucc_c + succoa_c <=> bzsuccoa_c + succ_c,ok,ok,ok,N/A,N/A,ok,bzsucc_c,bzsuccoa_c,always blocked,29,,,,
BZt2_pp,bz_p + 2.0 h_p --> bz_c + 2.0 h_c,ok,ok,ok,N/A,N/A,ok,ok,bz_p,bz_c,21,,,,
BZtex,bz_e <=> bz_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,bz_e,bz_p,21,,,,
C4HP,34hpp_c + h_c <=> 4hoxpacd_c + co2_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CA2abcpp,atp_c + ca2_p + h2o_c --> adp_c + ca2_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ca2_p,ca2_c,1,,,,
CA2tex,ca2_e <=> ca2_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ca2_e,ca2_p,1,,,,
CARBSARAH,Ncarbsar_c + h2o_c + 2.0 h_c --> co2_c + nh4_c + sarcs_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CARNabcpp,atp_c + carn_p + h2o_c --> adp_c + carn_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,carn_p,carn_c,1,,,,
CARNtex,carn_e <=> carn_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,carn_e,carn_p,1,,,,
CAT,2.0 h2o2_c --> 2.0 h2o_c + o2_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CATECHOLtex,catechol_e <=> catechol_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CATECHOLtpp,catechol_p <=> catechol_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CATpp,2.0 h2o2_p --> 2.0 h2o_p + o2_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CD2abcpp,atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CD2t3pp,cd2_c + h_p --> cd2_p + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CD2t4pp,cd2_c + h_p + k_p --> cd2_p + h_c + k_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CD2t5,cd2_c + h_p --> cd2_e + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CD2t6,cd2_p + h_p --> cd2_e + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CD2tex,cd2_e <=> cd2_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CD2tpp,cd2_p --> cd2_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CDGUNPD,cdigmp_c + h2o_c --> 5pg35pg_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CDPMEK,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CDPPT160,cdpdhdecg_c + inost_c --> cmp_c + h_c + ptd1ino160_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CELBt2,cellb_e + h_e --> cellb_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CEPA,cellb_c + pi_c <=> g1p_c + glc__D_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CGLYabcpp,atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CH4St,ch4s_e <=> ch4s_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,,,
CHCD,hipohcoa_c + nad_c --> h_c + hipocoa_c + nadh_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHCOAL,atp_c + coa_c + pime_c --> amp_c + pmcoa_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHLabcpp,atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHLt3pp,chol_c + h_p --> chol_p + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHLtex,chol_e <=> chol_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHOD,chsterol_c + o2_c --> chol4en3one_c + h2o2_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHOLCOA,cholc5coa_c + fad_c --> cholenec5coa_c + fadh2_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHOLD,chol_c + nad_c --> betald_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHOLD3,chol_c + nadp_c --> betald_c + h_c + nadph_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHOLSH,chols_c + h2o_c --> chol_c + h_c + so4_c,ok,ok,ok,N/A,N/A,ok,ok,chols_c,so4_c,1,,,,
CHOLS_ex,chols_e <=> chols_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,chols_e,chols_p,1,,,,
CHOLSabc,atp_c + chols_p + h2o_c --> adp_c + chols_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,chols_p,chols_c,1,,,,
CHORM,chor_c --> pphn_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHORS,3psme_c --> chor_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHSTEROLt_1,atp_c + chsterol_e + h2o_c --> adp_c + chsterol_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHTBSptspp,chtbs_p + pep_c --> chtbs6p_c + pyr_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CHTBStex,chtbs_e <=> chtbs_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CINNMCOAH,cinmcoa_c + h2o_c --> cinnm_c + coa_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CINNMtex,cinnm_e <=> cinnm_p,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,,,
CINNMtpp,cinnm_c <=> cinnm_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CITACt,ac_c + cit_e <-- ac_e + cit_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CITL,cit_c --> ac_c + oaa_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CITt2r,cit_e + h_e --> cit_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CITt3pp,cit_c + h_p --> cit_p + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CITt4pp_1,cit_p + na1_p --> cit_c + na1_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CITtupp,cit_p --> cit_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CLBtex,cellb_e <=> cellb_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CLPNH120pp,clpn120_p + h2o_p --> h_p + pa120_p + pg120_p,ok,ok,ok,N/A,N/A,ok,ok,clpn120_p,pa120_p,pg120_p,2,,,
CLPNH140pp,clpn140_p + h2o_p --> h_p + pa140_p + pg140_p,ok,ok,ok,N/A,N/A,ok,ok,clpn140_p,pa140_p,pg140_p,16,,,
CLPNH141pp,clpn141_p + h2o_p --> h_p + pa141_p + pg141_p,ok,ok,ok,N/A,N/A,ok,ok,clpn141_p,pa141_p,pg141_p,6,,,
CLPNH160pp,clpn160_p + h2o_p --> h_p + pa160_p + pg160_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CLPNH161pp,clpn161_p + h2o_p --> h_p + pa161_p + pg161_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CLPNH180pp,clpn180_p + h2o_p --> h_p + pa180_p + pg180_p,ok,ok,ok,N/A,N/A,ok,ok,clpn180_p,pa180_p,pg180_p,12,,,
CLPNH181pp,clpn181_p + h2o_p --> h_p + pa181_p + pg181_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
CLPNS120pp,2.0 pg120_p <=> clpn120_p + glyc_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,pg120_p,clpn120_p,2,,,,
CLPNS140pp,2.0 pg140_p <=> clpn140_p + glyc_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,pg140_p,clpn140_p,16,,,,
CLPNS141pp,2.0 pg141_p <=> clpn141_p + glyc_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,pg141_p,clpn141_p,6,,,,
CLPNS160pp,2.0 pg160_p <=> clpn160_p + glyc_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CLPNS161pp,2.0 pg161_p <=> clpn161_p + glyc_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
CLPNS180pp,2.0 pg180_p <=> clpn180_p + glyc_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,pg180_p,clpn180_p,12,,,,
CLPNS181pp,2.0 pg181_p <=> clpn181_p + glyc_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,,,
