reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway,,,
3OAR40,actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c,ok,ok,ok,N/A,N/A,in loop,only when going backwards,actACP_c,3haACP_c,30,,
3OXCOAT,coa_c + oxadpcoa_c --> accoa_c + succoa_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
3OXOADPt_ex,3oxoadp_e <=> 3oxoadp_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
3OXOADPt_pp,3oxoadp_p + h_p --> 3oxoadp_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
4ABUTabcpp,4abut_p + atp_c + h2o_c --> 4abut_c + adp_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
4ABUTD,4abutn_c + h2o_c + nadp_c <=> 4abut_c + 2.0 h_c + nadph_c,ok,ok,ok,N/A,N/A,in loop,only when going forwards,ok,0,,,
4CMLCL_kt,4cml_c + h_c --> 5odhf2a_c + co2_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
4HBADH,4hba_c + nad_c <=> 4hbald_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,4hba_c,23,,,
4HBALDt2pp,4hbald_p + h_p --> 4hbald_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
4HBALDtex,4hbald_e <=> 4hbald_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
4HBZt3pp,4hbz_c + h_p --> 4hbz_p + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
4HBZtex,4hbz_e <=> 4hbz_p,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,
4HGLSD,4hglusa_c + h2o_c + nad_c <=> e4hglu_c + 2.0 h_c + nadh_c,ok,ok,ok,N/A,N/A,in loop,only when going forwards,4hglusa_c,e4hglu_c,4,,
4HTHRK,4hthr_c + atp_c --> adp_c + h_c + phthr_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
4PEPTabcpp,LalaDgluMdapDala_p + atp_c + h2o_c --> LalaDgluMdapDala_c + adp_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,LalaDgluMdapDala_p,LalaDgluMdapDala_c,1,,
5DGLCN_Et,5dglcn_e <=> 5dglcn_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
5DGLCNR,5dglcn_c + h_c + nadph_c --> glcn_c + nadp_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
5DKGR,glcn_c + nad_c <=> 5dglcn_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,in loop,only when going backwards,ok,0,,,
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
6ATHAtexi,6atha_e --> 6atha_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
A5PISO,ru5p__D_c <=> ara5p_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ara5p_c,1,,,
A6PAG,atp_c + gal_c --> adp_c + dgal6p_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
AAAN,acald_c + accoa_c + h_c + nadh_c <=> actn__S_c + coa_c + nad_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,
AABTN,4aabutn_c + h2o_c --> 4abut_c + ac_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
AACPS1,ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ACP_c,myrsACP_c,1,,
AACPS3,ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ACP_c,palmACP_c,1,,
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ACP_c,octeACP_c,1,,
AADa,aad_c + coa_c <=> accoa_c + amp_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
AADb,ac_c + atp_c <=> aad_c + ppi_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
AALDCDLsi,2amsa_c + h_c --> aacald_c + co2_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
AALDH,h_c + nadh_c + pacald_c <=> nad_c + pea_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
AAMYLpp,14glucan_p --> malthx_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
AASAD3,L2aadp6sa_c + h2o_c + nad_c --> L2aadp_c + 2.0 h_c + nadh_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
AATA,2oxoadp_c + glu__L_c <=> L2aadp_c + akg_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,
ABUTD,4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ABUTt2pp,4abut_p + h_p --> 4abut_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ABUTt2r,4abut_e + h_e --> 4abut_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ABUTtex,4abut_e <=> 4abut_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACACT10,3oddcoa_c + coa_c --> accoa_c + dcacoa_c,ok,ACACT5r,ACACT5r,N/A,N/A,in loop,ok,ok,0,,,
ACACT11,3ohcoa_c + coa_c --> accoa_c + btcoa_c,ok,ACACT2r,ACACT2r,N/A,N/A,in loop,ok,ok,0,,,
ACACT12,3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,ok,ACACT7r,ACACT7r,N/A,N/A,in loop,ok,ok,0,,,
ACACT13,3odcoa_c + coa_c --> accoa_c + occoa_c,ok,ACACT4r,ACACT4r,N/A,N/A,in loop,ok,ok,0,,,
ACACT1r,2.0 accoa_c <=> aacoa_c + coa_c,ok,KAT1,KAT1,N/A,N/A,in loop,ok,ok,0,,,
ACACt2pp,acac_p + h_p --> acac_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACACT2r,accoa_c + btcoa_c <=> 3ohcoa_c + coa_c,ok,ACACT11,ACACT11,N/A,N/A,in loop,ok,ok,0,,,
ACACT3r,accoa_c + hxcoa_c <=> 3oocoa_c + coa_c,ok,ACACT8,ACACT8,N/A,N/A,in loop,ok,ok,0,,,
ACACT4r,accoa_c + occoa_c <=> 3odcoa_c + coa_c,ok,ACACT13,ACACT13,N/A,N/A,in loop,ok,ok,0,,,
ACACT5r,accoa_c + dcacoa_c <=> 3oddcoa_c + coa_c,ok,ACACT10,ACACT10,N/A,N/A,in loop,ok,ok,0,,,
ACACT5r_1,accoa_c + dccoa_c <=> 3oddcoa_c + coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACACT6r_1,accoa_c + ddcoa_c <=> 3otdcoa_c + coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACACT7r,accoa_c + tdcoa_c <=> 3ohdcoa_c + coa_c,ok,ACACT12,ACACT12,N/A,N/A,in loop,ok,ok,0,,,
ACACT8,3oocoa_c + coa_c --> accoa_c + hxcoa_c,ok,ACACT3r,ACACT3r,N/A,N/A,in loop,ok,ok,0,,,
ACACT8r,3ohodcoa_c + coa_c <=> accoa_c + pmtcoa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACACT9,3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACACtex,acac_e <=> acac_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACALDt,acald_e <=> acald_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACCOAC,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACGAMK,acgam_c + atp_c --> acgam6p_c + adp_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,acgam_c,1,,,
ACGApts,acgam_e + pep_c --> acgam6p_c + pyr_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACGAptspp,acgam_p + pep_c --> acgam6p_c + pyr_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACGAtex,acgam_e <=> acgam_p,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACGK,acglu_c + atp_c --> acg5p_c + adp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACGS,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACLS_a,h_c + pyr_c + thmpp_c --> co2_c + hethmpp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACLS_d,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,ok,ok,ok,N/A,N/A,ok,ok,lpam_c,adhlam_c,26,,
ACM6PH,acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,ok,ok,ok,N/A,N/A,ok,ok,acmum6p_c,1,,,
ACMANApts,acmana_e + pep_c --> acmanap_c + pyr_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACOAD1,b2coa_c + h_c + nadh_c --> btcoa_c + nad_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD10f,fad_c + hptcoa_c <=> fadh2_c + hp2coa_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACOAD11f,fad_c + nonacoa_c <=> fadh2_c + nona2coa_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACOAD12f,fad_c + pdcacoa_c <=> fadh2_c + pdca2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD13f,fad_c + pnonacoa_c <=> fadh2_c + pnona2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD14f,fad_c + poctacoa_c <=> fadh2_c + pocta2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD15f,fad_c + phpcoa_c <=> fadh2_c + php2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
