reaction;bound
EX_ ala__D_e;10.0
EX_ arab__D_e;10.0
EX_ala__L_e;10.0
EX_ala_B_e;10.0
EX_arab__L_e;10.0
EX_asp__D_e;10.0
EX_asp__L_e;10.0
EX_cit_e;10.0
EX_fru_e;10.0
EX_fum_e;10.0
EX_glc__aD_e;10.0
EX_glc__D_e;10.0
EX_glu_e;10.0
EX_gly_e;10.0
EX_oaa_e;10.0
