reaction;bound
EX_3mb_e;1000
EX_ala__D_e;1000
EX_ala__L_e;1000
EX_all__D_e;1000
EX_fru_e;1000
EX_gal_e;1000
EX_glcn__D_e;1000
EX_glcn_e;1000
EX_gly_e;1000
EX_hdcea_e;1000
EX_ile__L_e;1000
EX_inost_e;1000
EX_lac__D_e;1000
EX_lac__L_e;1000
EX_lnlc_e;1000
EX_malt_e;1000
EX_ocdcea_e;1000
EX_pi_e;1000
EX_rib__D_e;1000
EX_rmn_e;1000
EX_srb__L_e;1000
EX_succ_e;1000
EX_urea_e;1000
EX_val__D_e;1000
EX_val__L_e;1000
